period,produced,h,spot_price
1,0,11.039,9.199
2,0,3.779,3.149
3,0,4.082,3.402
4,0,4.403,3.669
5,0,4.787,3.989
6,0.505,5.106,4.255
7,2.721,5.38,4.483
8,8.083,5.747,4.789
9,20.985,6.733,5.611
10,34.419,7.866,6.555
11,45.43,6.011,5.009
12,40.552,5.932,4.943
13,19.659,5.31,4.425
14,25.446,5.028,4.19
15,16.119,4.109,3.424
16,34.363,3.589,2.991
17,30.745,4.824,4.02
18,26.937,6.235,5.196
19,11.218,7.885,6.571
20,2.414,9.005,7.504
21,0.502,9.172,7.643
22,0,9.005,7.504
23,0,8.684,7.237
24,0,7.73,6.442
25,0,6.87,5.725
26,0,8.354,6.962
27,0,7.822,6.518
28,0,7.378,6.148
29,0,6.976,5.813
30,0.299,7.002,5.835
31,3.069,7.876,6.563
32,7.665,12.026,10.022
33,15.6,14.801,12.334
34,31.971,15.716,13.097
35,42.095,14.33,11.942
36,39.645,13.44,11.2
37,38.542,12.698,10.582
38,36.129,11.536,9.613
39,30.237,11.039,9.199
40,13.519,10.342,8.618
41,8.542,9.643,8.036
42,2.726,10.18,8.483
43,1.688,11.06,9.217
44,2.557,12.805,10.671
45,0.93,15.226,12.688
46,0.013,16.732,13.943
47,0,14.206,11.838
48,0,11.04,9.2
49,0,9.672,8.06
50,0,1.273,1.061
51,0,0.898,0.748
52,0,1.199,0.999
53,0,2.082,1.735
54,0.656,3.592,2.993
55,2.895,10.931,9.109
56,8.02,10.932,9.11
57,20.579,15.846,13.205
58,33.659,15.012,12.51
59,43.678,13.212,11.01
60,44.405,10.932,9.11
61,34.972,10.099,8.416
62,42.795,9.312,7.76
63,35.769,9.342,7.785
64,6.089,8.698,7.248
65,27.388,8.648,7.207
66,12.108,9.874,8.228
67,9.462,11.66,9.717
68,2.69,14.534,12.112
69,0.935,16.406,13.672
70,0.016,20.095,16.746
71,0,10.932,9.11
72,0,10.932,9.11
73,0,10.585,8.821
74,0,10.607,8.839
75,0,10.007,8.339
76,0,11.028,9.19
77,0,11.111,9.259
78,0.36,11.111,9.259
79,1.148,11.112,9.26
80,5.01,14.64,12.2
81,13.566,14.982,12.485
82,33.061,14.076,11.73
83,46.737,12.53,10.442
84,41.655,10.8,9
85,38.861,9.552,7.96
86,33.076,8.615,7.179
87,28.539,7.457,6.214
88,33.316,7.028,5.857
89,24.437,8.027,6.689
90,12.135,9.482,7.902
91,15.629,11.879,9.899
92,5.532,13.403,11.169
93,1.244,14.18,11.817
94,0.089,14.039,11.699
95,0,13.284,11.07
96,0,12.227,10.189
97,0,10.747,8.956
98,0,9.827,8.189
99,0,9.246,7.705
100,0,9.126,7.605
101,0,9.236,7.697
102,0.558,9.158,7.632
103,3.062,10.25,8.542
104,6.924,11.282,9.402
105,12.422,12.233,10.194
106,19.654,11.521,9.601
107,12.056,10.878,9.065
108,21.58,10.554,8.795
109,21.345,9.847,8.206
110,19.235,9.31,7.758
111,15.522,9.209,7.674
112,20.212,9.241,7.701
113,16.379,9.496,7.913
114,11.248,10.128,8.44
115,4.278,10.871,9.059
116,2.643,10.872,9.06
117,1.002,10.872,9.06
118,0.066,13.796,11.497
119,0,10.872,9.06
120,0,9.374,7.812
121,0,8.718,7.265
122,0,8.159,6.799
123,0,7.667,6.389
124,0,7.549,6.291
125,0.005,7.781,6.484
126,0.675,7.873,6.561
127,2.958,8.322,6.935
128,9.417,10.847,9.039
129,22.249,9.263,7.719
130,36.043,10.152,8.46
131,34.053,9.521,7.934
132,15.061,9.335,7.779
133,27.574,8.716,7.263
134,18.445,8.437,7.031
135,25.358,6.691,5.576
136,34.176,6,5
137,35.029,7.579,6.316
138,30.583,8.742,7.285
139,14.76,9.355,7.796
140,4.77,9.791,8.159
141,1.572,10.847,9.039
142,0.089,10.847,9.039
143,0,9.416,7.847
144,0,9.406,7.838
145,0,8.778,7.315
146,0,7.362,6.135
147,0,7.414,6.178
148,0,7.4,6.167
149,0.008,7.446,6.205
150,0.921,7.642,6.368
151,3.426,7.742,6.452
152,9.074,7.921,6.601
153,22.133,9.409,7.841
154,35.531,9.104,7.587
155,46.145,8.112,6.76
156,49.804,4.486,3.738
157,48.487,3.655,3.046
158,22.964,4.714,3.928
159,36.68,4.207,3.506
160,47.926,3.679,3.066
161,41.869,3.608,3.007
162,28.877,6.794,5.662
163,15.521,8.267,6.889
164,4.905,8.659,7.216
165,1.536,10.86,9.05
166,0.067,13.523,11.269
167,0,7.921,6.601
168,0,8.01,6.675
169,0,7.398,6.165
170,0,6.751,5.626
171,0,6.613,5.511
172,0,6.802,5.668
173,0.005,7.134,5.945
174,1.003,7.547,6.289
175,3.86,10.804,9.003
176,8.02,12.194,10.162
